"Site","Plot_number","Treatment","Tree_number","Species","Height_year_1","Height_year_2","Height_year_3","BA_year_3","DBH_year_3","Mortality_year_1","Mortality_year_2","WD","WD_source"
"LLFS",4,"M1",7,"Inga edulis",NA,327,500,117.32267855,12.2221059488172,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",8,"Inga edulis",NA,221,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",9,"Inga edulis",NA,29,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",10,"Inga edulis",NA,254,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",11,"Inga edulis",NA,23,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",12,"Inga edulis",NA,23,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",13,"Inga edulis",NA,22,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",14,"Inga edulis",NA,205,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",15,"Inga edulis",NA,188,580,108.87180145,11.7736945311442,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",16,"Inga edulis",NA,27,523,43.393211875,7.43303123445082,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",17,"Inga edulis",NA,202,450,39.8353612,7.1217945181428,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",18,"Inga edulis",NA,257,600,59.603816275,8.7114829907691,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",19,"Inga edulis",NA,26,630,124.980304175,12.6146686674141,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",20,"Inga edulis",NA,247,650,113.0029923,11.9949938920269,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",21,"Inga edulis",NA,201,475,33.94487995,6.57418918906566,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",22,"Inga edulis",NA,174,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",23,"Inga edulis",NA,233,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",24,"Inga edulis",NA,216,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",25,"Inga edulis",NA,28,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",26,"Inga edulis",NA,267,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",27,"Inga edulis",NA,162,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",28,"Inga edulis",NA,242,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",29,"Inga edulis",NA,156,455,60.483461475,8.77553046558644,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",30,"Inga edulis",NA,287,485,76.207119425,9.8503765431716,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",31,"Inga edulis",NA,26,565,68.211772875,9.31933080435196,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",32,"Inga edulis",NA,335,609,105.32180475,11.5801505487008,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",33,"Inga edulis",NA,148,425,27.371102875,5.90338636406803,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",34,"Inga edulis",NA,19,480,41.89310265,7.30342077013432,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",35,"Inga edulis",NA,19,380,29.224640975,6.09999742377467,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",36,"Inga edulis",NA,171,345,27.53603635,5.92114603654435,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",37,"Inga edulis",NA,200,445,60.279258125,8.76070403404021,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",38,"Inga edulis",NA,210,450,82.3724898,10.2410893664519,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",39,"Inga edulis",NA,207,510,59.006914175,8.66775268108198,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",40,"Inga edulis",NA,180,380,32.43691675,6.4265048911039,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",41,"Inga edulis",NA,238,440,90.11650915,10.711671348733,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",42,"Inga edulis",NA,133,330,24.45727815,5.58032021457257,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",4,"M1",43,"Inga edulis",NA,254,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
